OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,SHAPE_LENG,Shape__Area,Shape__Length
8832,42,101,003702,3005,421010037023005,Block 3005,G5040, , ,S,5924,0,+39.9232684,-075.1858966,364.06822364,63797.3255615234,1195.29799868051
8833,42,101,003701,5005,421010037015005,Block 5005,G5040, , ,S,6877,0,+39.9287790,-075.1795321,415.51084976,74092.6475830078,1363.90692722526
8834,42,101,003702,1007,421010037021007,Block 1007,G5040, , ,S,9146,0,+39.9251874,-075.1809147,409.45368453,98424.2880859375,1343.77574178222
8835,42,101,003800,4000,421010038004000,Block 4000,G5040, , ,S,3993,0,+39.9233728,-075.1802065,286.78401755,42970.8942871094,940.542164719553
8836,42,101,003100,1014,421010031001014,Block 1014,G5040, , ,S,6223,0,+39.9336479,-075.1750668,363.67384122,66854.3856201172,1192.88184762905
8837,42,101,003100,2003,421010031002003,Block 2003,G5040, , ,S,6530,0,+39.9311950,-075.1755980,368.63222472,70296.7584228516,1210.13555713818
8838,42,101,003600,3030,421010036003030,Block 3030,G5040, , ,S,11541,0,+39.9224996,-075.1880745,449.23485996,124098.57434082,1473.66823819674
8839,42,101,003800,2002,421010038002002,Block 2002,G5040, , ,S,122820,0,+39.9205710,-075.1856420,1428.16595853,1338799.17810059,4700.99850321871
8840,42,101,003200,4012,421010032004012,Block 4012,G5040, , ,S,6114,0,+39.9332986,-075.1854037,363.26088407,65825.1776733398,1192.15727454014
8841,42,101,003901,4012,421010039014012,Block 4012,G5040, , ,S,2962,0,+39.9247823,-075.1741366,253.81413023,31950.2110595703,834.131424276795
8842,42,101,003001,3005,421010030013005,Block 3005,G5040, , ,S,6484,0,+39.9278800,-075.1725578,368.82438308,69852.6887207031,1210.64235105284
8843,42,101,003901,1002,421010039011002,Block 1002,G5040, , ,S,5711,0,+39.9265285,-075.1717678,357.37577257,61393.2948608398,1172.21857124343
8844,42,101,003901,1001,421010039011001,Block 1001,G5040, , ,S,6492,0,+39.9264623,-075.1712536,368.50306022,69974.0581665039,1209.7881571484
8845,42,101,003901,1012,421010039011012,Block 1012,G5040, , ,S,5467,0,+39.9240709,-075.1723341,355.95523548,58910.1745605469,1168.70176262784
8846,42,101,003901,1010,421010039011010,Block 1010,G5040, , ,S,6352,0,+39.9239347,-075.1712477,370.25228562,68286.8067016602,1214.91691447383
8847,42,101,003901,1009,421010039011009,Block 1009,G5040, , ,S,5503,0,+39.9238712,-075.1707580,357.60706626,59318.7543334961,1174.20004204258
8848,42,101,003901,1014,421010039011014,Block 1014,G5040, , ,S,7870,0,+39.9238077,-075.1702052,393.7185043,84625.7131347656,1292.00583660591
8849,42,101,003300,1004,421010033001004,Block 1004,G5040, , ,S,6382,0,+39.9340736,-075.1913916,368.01772479,68647.9377441406,1207.55010399515
8850,42,101,003300,1013,421010033001013,Block 1013,G5040, , ,S,12001,0,+39.9317126,-075.1908180,447.05682134,129239.927734375,1467.53055493659
8851,42,101,003300,1014,421010033001014,Block 1014,G5040, , ,S,6726,0,+39.9310979,-075.1909539,368.96653287,72320.8852539063,1210.803297642
8852,42,101,003600,1007,421010036001007,Block 1007,G5040, , ,S,8968,0,+39.9293685,-075.1913216,403.2951634,96615.8075561523,1323.50839291381
8853,42,101,003200,4014,421010032004014,Block 4014,G5040, , ,S,8057,0,+39.9334617,-075.1867130,391.27555985,86672.4793701172,1283.84811744967
8854,42,101,003600,1002,421010036001002,Block 1002,G5040, , ,S,9062,0,+39.9297170,-075.1867878,406.87596857,97490.9001464844,1335.21946284824
8855,42,101,003200,4010,421010032004010,Block 4010,G5040, , ,S,6622,0,+39.9344560,-075.1845910,375.85623123,71255.366394043,1232.56017356277
8856,42,101,003200,2000,421010032002000,Block 2000,G5040, , ,S,7122,0,+39.9332718,-075.1820326,385.03090092,76685.8264160156,1263.563155661
8857,42,101,003200,3005,421010032003005,Block 3005,G5040, , ,S,6621,0,+39.9315410,-075.1828128,336.10531745,71273.8170166016,1103.17885525843
8858,42,101,003701,4000,421010037014000,Block 4000,G5040, , ,S,7354,0,+39.9292393,-075.1841119,394.55232737,79125.0651245117,1294.55138147641
8859,42,101,003600,1019,421010036001019,Block 1019,G5040, , ,S,9007,0,+39.9279323,-075.1900274,403.4805164,96921.5816650391,1324.24281177709
8860,42,101,003600,3014,421010036003014,Block 3014,G5040, , ,S,33738,0,+39.9250009,-075.1896284,749.87126017,361923.181518555,2469.64617333437
8861,42,101,003600,3021,421010036003021,Block 3021,G5040, , ,S,5289,0,+39.9240849,-075.1913532,309.56389556,61740.4431152344,1051.02972297999
8862,42,101,003600,3031,421010036003031,Block 3031,G5040, , ,S,8263,0,+39.9232954,-075.1916793,928.52135357,94033.6343383789,3091.63176252522
8863,42,101,003300,5011,421010033005011,Block 5011,G5040, , ,S,5790,0,+39.9341333,-075.1919033,359.24014103,62274.2904052734,1178.70315364848
8864,42,101,003300,1008,421010033001008,Block 1008,G5040, , ,S,6483,0,+39.9326496,-075.1900904,368.54407138,69761.1475830078,1209.65576184955
8865,42,101,003200,6008,421010032006008,Block 6008,G5040, , ,S,6496,0,+39.9325816,-075.1895451,369.23077042,69934.6276245117,1212.02800776323
8866,42,101,003600,1005,421010036001005,Block 1005,G5040, , ,S,9341,0,+39.9302176,-075.1907417,409.8322045,100510.396118164,1344.94257762778
8867,42,101,003200,6006,421010032006006,Block 6006,G5040, , ,S,6611,0,+39.9324464,-075.1885232,368.83780711,71255.3374023438,1211.08485884689
8868,42,101,003600,1013,421010036001013,Block 1013,G5040, , ,S,9981,0,+39.9287508,-075.1914578,419.06268864,107395.183288574,1375.15995885933
8869,42,101,003600,3003,421010036003003,Block 3003,G5040, , ,S,8065,0,+39.9264150,-075.1898837,381.94813336,86661.1810302734,1252.63431777874
8870,42,101,003600,3040,421010036003040,Block 3040,G5040, , ,S,6742,0,+39.9224427,-075.1905063,627.85073517,72676.6560058594,2061.2527184221
8871,42,101,003100,1002,421010031001002,Block 1002,G5040, , ,S,4183,0,+39.9347122,-075.1753749,277.69003474,45019.8950805664,911.402407594428
8872,42,101,003902,1002,421010039021002,Block 1002,G5040, , ,S,6305,0,+39.9202057,-075.1720572,369.24497347,67871.5814819336,1211.86233097417
8873,42,101,003001,2007,421010030012007,Block 2007,G5040, , ,S,6545,0,+39.9276815,-075.1709934,370.83628102,70505.1354370117,1217.46094750384
8874,42,101,003901,1007,421010039011007,Block 1007,G5040, , ,S,4708,0,+39.9248528,-075.1718817,350.01798122,50649.9909667969,1148.37534519164
8875,42,101,003100,2002,421010031002002,Block 2002,G5040, , ,S,6567,0,+39.9320786,-075.1759263,369.83614937,70734.9100341797,1214.02664941586
8876,42,101,003002,3004,421010030023004,Block 3004,G5040, , ,S,5462,0,+39.9330372,-075.1735732,354.16441083,58735.9518432617,1162.00396592407
8877,42,101,003002,3008,421010030023008,Block 3008,G5040, , ,S,6528,0,+39.9318830,-075.1743542,369.60954525,70280.3883056641,1212.94976396746
8878,42,101,003701,1001,421010037011001,Block 1001,G5040, , ,S,6529,0,+39.9289540,-075.1777065,368.66955738,70277.6857299805,1209.86886971124
8879,42,101,003701,3000,421010037013000,Block 3000,G5040, , ,S,7703,0,+39.9274772,-075.1791540,384.5093077,82990.1096801758,1262.37565058471
8880,42,101,003701,2005,421010037012005,Block 2005,G5040, , ,S,5551,0,+39.9261062,-075.1783153,356.27675191,59695.9705200195,1169.12322551088
