TractFIPS,Geolocation,lat,lon,walk_score,transit_score,bike_score
42101025900,"(40.07992548240, -75.1759762059)",40.07992548240, -75.1759762059,80,51,51
42101026000,"(40.07612353420, -75.1694560363)",40.07612353420, -75.1694560363,76,56,49
42101026100,"(40.07046450880, -75.1755188687)",40.07046450880, -75.1755188687,67,52,56
42101026200,"(40.06649405320, -75.1692175259)",40.06649405320, -75.1692175259,56,54,48
42101026301,"(40.07281479970, -75.1637160858)",40.07281479970, -75.1637160858,78,57,52
42101026302,"(40.06874253880, -75.1571944921)",40.06874253880, -75.1571944921,87,56,56
42101026400,"(40.06254626660, -75.1620065973)",40.06254626660, -75.1620065973,74,54,58
42101026500,"(40.05872556300, -75.1546920782)",40.05872556300, -75.1546920782,75,57,54
42101026600,"(40.06348283460, -75.1473267153)",40.06348283460, -75.1473267153,78,52,55
42101026700,"(40.05475689490, -75.1479246607)",40.05475689490, -75.1479246607,78,62,73
42101026800,"(40.05552725480, -75.1399310797)",40.05552725480, -75.1399310797,67,63,62
42101026900,"(40.05560069870, -75.1324048518)",40.05560069870, -75.1324048518,58,60,55
42101027000,"(40.04932306050, -75.1331512306)",40.04932306050, -75.1331512306,56,74,56
42101027100,"(40.04978119650, -75.1252313876)",40.04978119650, -75.1252313876,73,61,70
42101027200,"(40.04734193500, -75.1178413108)",40.04734193500, -75.1178413108,77,56,53
42101027300,"(40.03865456500, -75.1185367061)",40.03865456500, -75.1185367061,84,61,70
42101027401,"(40.03860504480, -75.1286495148)",40.03860504480, -75.1286495148,88,79,59
42101027402,"(40.03907039600, -75.1251351439)",40.03907039600, -75.1251351439,83,73,59
42101027500,"(40.04004992690, -75.1322706242)",40.04004992690, -75.1322706242,84,83,56
42101027600,"(40.04294042440, -75.1392770902)",40.04294042440, -75.1392770902,81,84,49
42101027700,"(40.05054434210, -75.1512268258)",40.05054434210, -75.1512268258,80,67,67
42101027800,"(40.04252791900, -75.1471626252)",40.04252791900, -75.1471626252,87,82,59
42101027901,"(40.04588789510, -75.1544481992)",40.04588789510, -75.1544481992,83,70,52
42101027902,"(40.03743819100, -75.1543086637)",40.03743819100, -75.1543086637,77,74,45
42101028000,"(40.02611904830, -75.1546481715)",40.02611904830, -75.1546481715,78,75,51
42101028100,"(40.03044738970, -75.1491299072)",40.03044738970, -75.1491299072,81,77,64
42101028200,"(40.03487047890, -75.1403326984)",40.03487047890, -75.1403326984,81,82,42
42101028300,"(40.02605056110, -75.1438523954)",40.02605056110, -75.1438523954,77,74,68
42101028400,"(40.02515784630, -75.1381286599)",40.02515784630, -75.1381286599,65,71,63
42101028500,"(40.02871551640, -75.1337358502)",40.02871551640, -75.1337358502,81,68,58
42101028600,"(40.02857578400, -75.1276447672)",40.02857578400, -75.1276447672,82,64,63
42101028700,"(40.02181945010, -75.1314402127)",40.02181945010, -75.1314402127,75,61,60
42101028800,"(40.02228415140, -75.1240561796)",40.02228415140, -75.1240561796,82,59,66
42101028901,"(40.01710084920, -75.1151820613)",40.01710084920, -75.1151820613,71,47,60
42101028902,"(40.02208307950, -75.1117941771)",40.02208307950, -75.1117941771,72,54,73
42101029000,"(40.03029193700, -75.1167670225)",40.03029193700, -75.1167670225,77,62,72
42101029100,"(40.03613244300, -75.1074595375)",40.03613244300, -75.1074595375,78,59,69
42101029200,"(40.02385033500, -75.1008715959)",40.02385033500, -75.1008715959,39,57,37
42101029300,"(40.01375412960, -75.0917655772)",40.01375412960, -75.0917655772,79,69,54
42101029400,"(40.00947896740, -75.0854720471)",40.00947896740, -75.0854720471,79,70,57
42101029800,"(40.01595292950, -75.0678013423)",40.01595292950, -75.0678013423,77,64,58
42101029900,"(40.01314654200, -75.0747145958)",40.01314654200, -75.0747145958,67,72,60
42101030000,"(40.01867198050, -75.0780877172)",40.01867198050, -75.0780877172,80,86,56
42101030100,"(40.02049477310, -75.0885046718)",40.02049477310, -75.0885046718,75,80,56
42101030200,"(40.02598631020, -75.0823128616)",40.02598631020, -75.0823128616,75,85,68
42101030501,"(40.04281631680, -75.0994350463)",40.04281631680, -75.0994350463,77,54,66
42101030502,"(40.04572070440, -75.1046618124)",40.04572070440, -75.1046618124,73,54,58
42101030600,"(40.05049225340, -75.0943787183)",40.05049225340, -75.0943787183,85,53,66
42101030700,"(40.05731342220, -75.0885389831)",40.05731342220, -75.0885389831,83,55,63
